source_protein_name	source_domain	source_uniprot	bp_protein_name	bp_uniprot	bp_domain	PDB
H1	H1	H1	Importin subunit beta-1	q14974	NA	6n89
H1	H1	H1	Lethal(3)malignant brain tumor-like protein 1	q9y468	MBT	2rhi
H1	H1	H1	Lysine-specific demethylase 4A	o75164	JmjC	6h8p
H1	H1	H1	Lysine-specific demethylase 4A	o75164	NA	6h8p
H2A	H2A	H2A	Acidic leucine-rich nuclear phosphoprotein 32 family member E	q9btt0	NA	4cay
H2A	H2A	H2A	Actin related protein 5	g0s589	NA	6fml
H2A	H2A	H2A	Centromere protein C	q03188	NA	6muo
H2A	H2A	H2A	Centromere protein C	q03188	NA	6mup
H2A	H2A	H2A	Centromere protein C	q03188	NA	6se6
H2A	H2A	H2A	Centromere protein C	q03188	NA	6see
H2A	H2A	H2A	Centromere protein C	q03188	NA	6sef
H2A	H2A	H2A	DNA-directed RNA polymerase subunit beta	c4qzq7	NA	6a5r
H2A	H2A	H2A	E3 ubiquitin-protein ligase RNF169	q8ncn4	NA	5vey
H2A	H2A	H2A	FACT complex subunit SPT16	q9y5b9	NA	6upk
H2A	H2A	H2A	FACT complex subunit SPT16	q9y5b9	NA	6upl
H2A	H2A	H2A	FACT complex subunit SSRP1	q08945	NA	6upl
H2A	H2A	H2A	HLA class I histocompatibility antigen, alpha chain G	p17693	MHC_I	2d31
H2A	H2A	H2A	HLA class I histocompatibility antigen, alpha chain G	p17693	MHC_I	2dyp
H2A	H2A	H2A	HLA class I histocompatibility antigen, alpha chain G	p17693	NA	6aee
H2A	H2A	H2A	HLA class I histocompatibility antigen, alpha chain G	p17693	NA	6k60
H2A	H2A	H2A	Ies6	g0s590	NA	6fml
H2A	H2A	H2A	Mediator of DNA damage checkpoint protein 1	q14676	BRCT_MDC1_rpt1	2azm
H2A	H2A	H2A	Mediator of DNA damage checkpoint protein 1	q14676	BRCT_MDC1_rpt2	2azm
H2A	H2A	H2A	Microcephalin	q8nem0	BRCT_microcephalin_rpt2	3shv
H2A	H2A	H2A	Microcephalin	q8nem0	BRCT_microcephalin_rpt2	3szm
H2A	H2A	H2A	Microcephalin	q8nem0	BRCT_microcephalin_rpt2	3u3z
H2A	H2A	H2A	Microcephalin	q8nem0	BRCT_microcephalin_rpt3	3shv
H2A	H2A	H2A	Microcephalin	q8nem0	BRCT_microcephalin_rpt3	3szm
H2A	H2A	H2A	Microcephalin	q8nem0	BRCT_microcephalin_rpt3	3u3z
H2A	H2A	H2A	NAD-dependent protein deacylase sirtuin-5, mitochondrial	q9nxa8	NA	6acl
H2A	H2A	H2A	PAX-interacting protein 1	q6zw49	BRCT_PAXIP1_rpt5	3sqd
H2A	H2A	H2A	PAX-interacting protein 1	q6zw49	BRCT_PAXIP1_rpt6	3sqd
H2A	H2A	H2A	Peregrin	p55201	Bromo_brd1_like	4qyl
H2A	H2A	H2A	Polyubiquitin-B	p0cg47	Ubl_ubiquitin	5kgf
H2A	H2A	H2A	Polyubiquitin-B	p0cg47	Ubl_ubiquitin	5vey
H2A	H2A	H2A	Pro-Pol polyprotein	p14350	NA	6rny
H2A	H2A	H2A	Protein LANA1	q9qr71	NA	5gtc
H2A	H2A	H2A	RuvB-like helicase	g0ryc2	TIP49	6fml
H2A	H2A	H2A	SWR1-complex protein 5	p38326	NA	6kbb
H2A	H2A	H2A	Sex comb on midleg-like protein 2	q9uqr0	MBT	4edu
H2A	H2A	H2A	Sex comb on midleg-like protein 2	q9uqr0	NA	4edu
H2A	H2A	H2A	Speckle-type POZ protein	o43791	MATH_SPOP	3ivb
H2A	H2A	H2A	Speckle-type POZ protein	q5nvk7	MATH_SPOP	3hsv
H2A	H2A	H2A	TP53-binding protein 1	q12888	NA	5kgf
H2A	H2A	H2A	Vacuolar protein sorting-associated protein 72 homolog	q15906	YL1	5fug
H2A	H2A	H2A	Vacuolar protein sorting-associated protein 72 homolog	q9vkm6	YL1	5chl
H2A	H2A	H2A	scFv		NA	6e0c
H2A	H2A	H2A	scFv		NA	6e0p
H2B	H2B	H2B	Acidic leucine-rich nuclear phosphoprotein 32 family member E	q9btt0	NA	4cay
H2B	H2B	H2B	Centromere protein C	q03188	NA	6muo
H2B	H2B	H2B	Centromere protein C	q03188	NA	6mup
H2B	H2B	H2B	Centromere protein C	q03188	NA	6se6
H2B	H2B	H2B	Centromere protein C	q03188	NA	6see
H2B	H2B	H2B	Centromere protein C	q03188	NA	6sef
H2B	H2B	H2B	Centromere protein N	q96h22	CENP-N	6c0w
H2B	H2B	H2B	Centromere protein N	q96h22	NA	6muo
H2B	H2B	H2B	Centromere protein N	q96h22	NA	6mup
H2B	H2B	H2B	DNA-directed RNA polymerase subunit beta	c4qzq7	NA	6a5r
H2B	H2B	H2B	FACT complex subunit SPT16	q9y5b9	NA	6upk
H2B	H2B	H2B	FACT complex subunit SPT16	q9y5b9	NA	6upl
H2B	H2B	H2B	HLA class II histocompatibility antigen, DR alpha chain	p01903	MHC_II_alpha	6biy
H2B	H2B	H2B	HLA class II histocompatibility antigen, DRB1-15 beta chain	p01911	MHC_II_beta	6biy
H2B	H2B	H2B	HLA class II histocompatibility antigen, DRB1-15 beta chain	p01911	NA	6biy
H2B	H2B	H2B	Ies6	g0s590	NA	6fml
H2B	H2B	H2B	Ino80		HepA	6fml
H2B	H2B	H2B	NAD-dependent protein deacylase sirtuin-5, mitochondrial	q9nxa8	NA	6aco
H2B	H2B	H2B	Polyubiquitin-B	p0cg47	Ubl_ubiquitin	5kgf
H2B	H2B	H2B	Pro-Pol polyprotein	p14350	NA	6rny
H2B	H2B	H2B	Protein LANA1	q9qr71	NA	5gtc
H2B	H2B	H2B	RuvB-like helicase	g0ryc2	TIP49	6fml
H2B	H2B	H2B	SWR1-complex protein 5	p38326	NA	6kbb
H2B	H2B	H2B	TP53-binding protein 1	q12888	NA	5kgf
H2B	H2B	H2B	Vacuolar protein sorting-associated protein 72 homolog	q15906	YL1	5fug
H2B	H2B	H2B	scFv		NA	6e0c
H2B	H2B	H2B	scFv		NA	6e0p
H3	H3	H3	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	2c1j
H3	H3	H3	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	2c1n
H3	H3	H3	A612L protein	o41094	NA	3kmt
H3	H3	H3	A612L protein	o41094	SET_SpSet7-like	3kmt
H3	H3	H3	ATPase family AAA domain-containing protein 2	q6pl18	Bromo_AAA	4tt4
H3	H3	H3	ATPase family AAA domain-containing protein 2	q6pl18	NA	4tt4
H3	H3	H3	ATXR5 PHD domain	i1n521	NA	5vab
H3	H3	H3	Actin related protein 5	g0s589	NA	6fml
H3	H3	H3	Baculoviral IAP repeat-containing protein 5	o15392	BIR	3uee
H3	H3	H3	Baculoviral IAP repeat-containing protein 5	o15392	BIR	3uef
H3	H3	H3	Baculoviral IAP repeat-containing protein 5	o15392	BIR	3uig
H3	H3	H3	Baculoviral IAP repeat-containing protein 5	o15392	BIR	3uii
H3	H3	H3	Baculoviral IAP repeat-containing protein 5	o15392	BIR	3uik
H3	H3	H3	Baculoviral IAP repeat-containing protein 5	o15392	BIR	4a0j
H3	H3	H3	Baculoviral IAP repeat-containing protein 5	o15392	BIR	4a0n
H3	H3	H3	Baculoviral IAP repeat-containing protein 5	o15392	NA	3uee
H3	H3	H3	Baculoviral IAP repeat-containing protein 5	o15392	NA	6yif
H3	H3	H3	Baculoviral IAP repeat-containing protein 5	o15392	NA	6yih
H3	H3	H3	Bromodomain adjacent to zinc finger domain protein 2A	q9uif9	NA	5t8r
H3	H3	H3	Bromodomain-containing protein 3	q15059	Bromo_Brdt_II_like	5hjc
H3	H3	H3	Bromodomain-containing protein 4	o60885	Bromo_Brdt_I_like	5nnc
H3	H3	H3	Bromodomain-containing protein 4	o60885	Bromo_Brdt_I_like	5nnd
H3	H3	H3	Bromodomain-containing protein 4	q9esu6	Bromo_Brdt_I_like	3jvk
H3	H3	H3	Bromodomain-containing protein 4	q9esu6	Bromo_Brdt_I_like	3muk
H3	H3	H3	Bromodomain-containing protein 4	q9esu6	Bromo_Brdt_I_like	3mul
H3	H3	H3	CREB-binding protein	q92793	Bromo_cbp_like	5gh9
H3	H3	H3	Centromere protein C	q03188	NA	6muo
H3	H3	H3	Centromere protein C	q03188	NA	6mup
H3	H3	H3	Centromere protein C	q03188	NA	6se6
H3	H3	H3	Centromere protein C	q03188	NA	6see
H3	H3	H3	Centromere protein C	q03188	NA	6sef
H3	H3	H3	Centromere protein N	q96h22	CENP-N	6c0w
H3	H3	H3	Centromere protein N	q96h22	NA	6muo
H3	H3	H3	Centromere protein N	q96h22	NA	6mup
H3	H3	H3	Chromatin-remodeling ATPase INO80	q9ulg1	DEXQc_INO80	6hts
H3	H3	H3	Chromatin-remodeling ATPase INO80	q9ulg1	HepA	6hts
H3	H3	H3	Chromobox protein homolog 1	p83916	CD_HP1beta_Cbx1	6d07
H3	H3	H3	Chromobox protein homolog 1	p83916	CD_HP1beta_Cbx1	6d08
H3	H3	H3	Chromobox protein homolog 1	p83916	CSD_HP1beta_Cbx1	5t1g
H3	H3	H3	Chromobox protein homolog 1	p83916	NA	6d07
H3	H3	H3	Chromobox protein homolog 1	p83916	NA	6d08
H3	H3	H3	Chromobox protein homolog 3	q13185	CSD_HP1gamma_Cbx3	5t1i
H3	H3	H3	Chromobox protein homolog 3	q13185	NA	5t1i
H3	H3	H3	Chromodomain Y-like protein 2	q8n8u2	NA	6v2h
H3	H3	H3	Chromodomain-helicase-DNA-binding protein 1	o14646	CD1_tandem_CHD1-2_like	2b2t
H3	H3	H3	Chromodomain-helicase-DNA-binding protein 1	o14646	CD1_tandem_CHD1-2_like	2b2u
H3	H3	H3	Chromodomain-helicase-DNA-binding protein 1	o14646	CD1_tandem_CHD1-2_like	2b2v
H3	H3	H3	Chromodomain-helicase-DNA-binding protein 1	o14646	CD1_tandem_CHD1-2_like	2b2w
H3	H3	H3	Chromodomain-helicase-DNA-binding protein 1	o14646	CD2_tandem_CHD1-2_like	2b2t
H3	H3	H3	Chromodomain-helicase-DNA-binding protein 1	o14646	CD2_tandem_CHD1-2_like	2b2u
H3	H3	H3	Chromodomain-helicase-DNA-binding protein 1	o14646	CD2_tandem_CHD1-2_like	2b2v
H3	H3	H3	Chromodomain-helicase-DNA-binding protein 1	o14646	CD2_tandem_CHD1-2_like	2b2w
H3	H3	H3	Chromodomain-helicase-DNA-binding protein 4	q14839	NA	2l75
H3	H3	H3	Chromodomain-helicase-DNA-binding protein 4	q14839	PHD2_CHD_II	2l75
H3	H3	H3	DNA (cytosine-5)-methyltransferase 1	p26358	DNMT1-RFD	5wvo
H3	H3	H3	DNA (cytosine-5)-methyltransferase 1	p26358	NA	5wvo
H3	H3	H3	DNA (cytosine-5)-methyltransferase 1	q24k09	NA	6pzv
H3	H3	H3	DNA (cytosine-5)-methyltransferase 1	q9axt8	CD_CMT3_like	4ft2
H3	H3	H3	DNA (cytosine-5)-methyltransferase 1	q9axt8	Dcm	4ft2
H3	H3	H3	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	ADDz_Dnmt3a	4u7t
H3	H3	H3	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	4qbq
H3	H3	H3	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	4qbr
H3	H3	H3	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	4qbs
H3	H3	H3	DNA (cytosine-5)-methyltransferase 3A	q9y6k1	NA	4u7t
H3	H3	H3	DNA (cytosine-5)-methyltransferase 3B	q9ubc3	Dnmt3b_related	5ciu
H3	H3	H3	DNA damage-binding protein 2	q92466	NA	6r8y
H3	H3	H3	DNA damage-binding protein 2	q92466	NA	6r8z
H3	H3	H3	DNA replication licensing factor MCM2	p49736	NA	5bnv
H3	H3	H3	DNA replication licensing factor MCM2	p49736	NA	5bnx
H3	H3	H3	DNA replication licensing factor MCM2	p49736	NA	5bo0
H3	H3	H3	DNA replication licensing factor MCM2	p49736	NA	5c3i
H3	H3	H3	DNA replication licensing factor MCM2	p49736	NA	5ja4
H3	H3	H3	DNA-directed RNA polymerase subunit	c4r4y0	RNAP_II_RPB1_N	6inq
H3	H3	H3	DNA-directed RNA polymerase subunit	c4r4y0	RNAP_II_RPB1_N	6j4x
H3	H3	H3	DNA-directed RNA polymerase subunit	c4r4y0	RNAP_II_RPB1_N	6j4y
H3	H3	H3	DNA-directed RNA polymerase subunit	c4r4y0	RNAP_II_RPB1_N	6j51
H3	H3	H3	Death domain-associated protein 6	q9uer7	DAXX_histone_binding	4h9n
H3	H3	H3	Death domain-associated protein 6	q9uer7	DAXX_histone_binding	4h9o
H3	H3	H3	Death domain-associated protein 6	q9uer7	DAXX_histone_binding	4h9p
H3	H3	H3	Death domain-associated protein 6	q9uer7	DAXX_histone_binding	4h9q
H3	H3	H3	Death domain-associated protein 6	q9uer7	DAXX_histone_binding	4h9r
H3	H3	H3	Death domain-associated protein 6	q9uer7	DAXX_histone_binding	4h9s
H3	H3	H3	Death domain-associated protein 6	q9uer7	DAXX_histone_binding	4hga
H3	H3	H3	Death domain-associated protein 6	q9uer7	DAXX_histone_binding	5kdm
H3	H3	H3	Death-inducer obliterator 1	q9btc0	NA	4l7x
H3	H3	H3	Death-inducer obliterator 1	q9btc0	PHD_DIDO1_like	4l7x
H3	H3	H3	E3 ubiquitin-protein ligase TRIM33	q9upn9	Bromo_tif1_like	3u5o
H3	H3	H3	E3 ubiquitin-protein ligase TRIM33	q9upn9	Bromo_tif1_like	3u5p
H3	H3	H3	E3 ubiquitin-protein ligase TRIM33	q9upn9	NA	3u5n
H3	H3	H3	E3 ubiquitin-protein ligase TRIM33	q9upn9	NA	3u5o
H3	H3	H3	E3 ubiquitin-protein ligase TRIM33	q9upn9	NA	3u5p
H3	H3	H3	E3 ubiquitin-protein ligase TRIM33	q9upn9	NA	5mr8
H3	H3	H3	E3 ubiquitin-protein ligase TRIM33	q9upn9	PHD_TIF1gamma	3u5n
H3	H3	H3	E3 ubiquitin-protein ligase TRIM33	q9upn9	PHD_TIF1gamma	3u5o
H3	H3	H3	E3 ubiquitin-protein ligase TRIM33	q9upn9	PHD_TIF1gamma	3u5p
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	NA	3ask
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	NA	3asl
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	NA	3shb
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	NA	3sou
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	NA	3sow
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	NA	3zvy
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	NA	4gy5
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	PHD_UHRF1	3ask
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	PHD_UHRF1	3asl
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	PHD_UHRF1	3shb
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	PHD_UHRF1	3sou
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	PHD_UHRF1	3sow
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	PHD_UHRF1	3zvy
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	PHD_UHRF1	4gy5
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	TTD	3ask
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	TTD	3db3
H3	H3	H3	E3 ubiquitin-protein ligase UHRF1	q96t88	TTD	4gy5
H3	H3	H3	FACT complex subunit SPT16	q9y5b9	NA	4z2m
H3	H3	H3	FACT complex subunit SPT16	q9y5b9	NA	6upk
H3	H3	H3	FACT complex subunit SPT16	q9y5b9	NA	6upl
H3	H3	H3	FACT complex subunit SSRP1	q08945	NA	6upk
H3	H3	H3	FACT complex subunit SSRP1	q08945	NA	6upl
H3	H3	H3	Hepatoma-derived growth factor-related protein 2	q7z4v5	HDGF_related	3qj6
H3	H3	H3	Hepatoma-derived growth factor-related protein 3	q9y3e1	HDGF_related	6iis
H3	H3	H3	Hepatoma-derived growth factor-related protein 3	q9y3e1	NA	6iis
H3	H3	H3	Heterochromatin protein 1	p05205	CD_HP1a_insect	1q3l
H3	H3	H3	Heterochromatin protein 1	p05205	NA	1q3l
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	NA	5b78
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	PHD1_MOZ	3v43
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	PHD1_MOZ	4lk9
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	PHD1_MOZ	4lka
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	PHD1_MOZ	4llb
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	PHD1_MOZ	5b75
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	PHD1_MOZ	5b76
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	PHD1_MOZ	5b77
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	PHD2_KAT6A_6B	3v43
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	PHD2_KAT6A_6B	4lk9
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	PHD2_KAT6A_6B	4lka
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	PHD2_KAT6A_6B	4llb
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	PHD2_KAT6A_6B	5b75
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	PHD2_KAT6A_6B	5b76
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	PHD2_KAT6A_6B	5b77
H3	H3	H3	Histone acetyltransferase KAT6A	q92794	PHD2_KAT6A_6B	5b78
H3	H3	H3	Histone acetyltransferase KAT6B	q8wyb5	NA	5u2j
H3	H3	H3	Histone acetyltransferase KAT6B	q8wyb5	NA	6oie
H3	H3	H3	Histone chaperone ASF1A	q9y294	ASF1_hist_chap	5c3i
H3	H3	H3	Histone chaperone ASF1B	q9nvp2	ASF1_hist_chap	5bnx
H3	H3	H3	Histone chaperone ASF1B	q9nvp2	ASF1_hist_chap	5bo0
H3	H3	H3	Histone lysine demethylase PHF8	q9upp1	JHD	3kv4
H3	H3	H3	Histone lysine demethylase PHF8	q9upp1	JmjC	3kv4
H3	H3	H3	Histone lysine demethylase PHF8	q9upp1	NA	3kv4
H3	H3	H3	Histone-arginine methyltransferase CARM1	q86x55	Methyltransf_25	5dwq
H3	H3	H3	Histone-arginine methyltransferase CARM1	q86x55	Methyltransf_25	5dx0
H3	H3	H3	Histone-arginine methyltransferase CARM1	q86x55	NA	5dwq
H3	H3	H3	Histone-arginine methyltransferase CARM1	q86x55	NA	5dx0
H3	H3	H3	Histone-lysine N-methyltransferase 2A	q03164	Bromo_ALL-1	3lqi
H3	H3	H3	Histone-lysine N-methyltransferase 2A	q03164	Bromo_ALL-1	3lqj
H3	H3	H3	Histone-lysine N-methyltransferase 2A	q03164	PHD3_KMT2A	3lqi
H3	H3	H3	Histone-lysine N-methyltransferase 2A	q03164	PHD3_KMT2A	3lqj
H3	H3	H3	Histone-lysine N-methyltransferase 2A	q03164	SET_KMT2A_2B	2w5z
H3	H3	H3	Histone-lysine N-methyltransferase 2C	q8nez4	SET_KMT2C_2D	5f6k
H3	H3	H3	Histone-lysine N-methyltransferase ASHH2	q2lae1	NA	6qxz
H3	H3	H3	Histone-lysine N-methyltransferase EHMT2	q96kq7	SET_EHMT2	5jhn
H3	H3	H3	Histone-lysine N-methyltransferase EHMT2	q96kq7	SET_EHMT2	5jin
H3	H3	H3	Histone-lysine N-methyltransferase EHMT2	q96kq7	SET_EHMT2	5jiy
H3	H3	H3	Histone-lysine N-methyltransferase EHMT2	q96kq7	SET_EHMT2	5jj0
H3	H3	H3	Histone-lysine N-methyltransferase EHMT2	q96kq7	SET_EHMT2	5t0k
H3	H3	H3	Histone-lysine N-methyltransferase EHMT2	q96kq7	SET_EHMT2	5t0m
H3	H3	H3	Histone-lysine N-methyltransferase EZH2	q15910	NA	5hyn
H3	H3	H3	Histone-lysine N-methyltransferase EZH2	q15910	SET_EZH2	5hyn
H3	H3	H3	Histone-lysine N-methyltransferase NSD3	q9bz95	NA	4gne
H3	H3	H3	Histone-lysine N-methyltransferase NSD3	q9bz95	NA	4gnf
H3	H3	H3	Histone-lysine N-methyltransferase NSD3	q9bz95	NA	4gng
H3	H3	H3	Histone-lysine N-methyltransferase NSD3	q9bz95	PHD5_NSD3	4gne
H3	H3	H3	Histone-lysine N-methyltransferase NSD3	q9bz95	PHD5_NSD3	4gnf
H3	H3	H3	Histone-lysine N-methyltransferase NSD3	q9bz95	PHD5_NSD3	4gng
H3	H3	H3	Histone-lysine N-methyltransferase PRDM9	q96eq9	PR-SET_PRDM7_9	4c1q
H3	H3	H3	Histone-lysine N-methyltransferase SETD2	q9byw2	AWS	5jjy
H3	H3	H3	Histone-lysine N-methyltransferase SETD2	q9byw2	AWS	5jlb
H3	H3	H3	Histone-lysine N-methyltransferase SETD2	q9byw2	AWS	5v21
H3	H3	H3	Histone-lysine N-methyltransferase SETD2	q9byw2	AWS	5v22
H3	H3	H3	Histone-lysine N-methyltransferase SETD2	q9byw2	NA	5jjy
H3	H3	H3	Histone-lysine N-methyltransferase SETD2	q9byw2	NA	5jlb
H3	H3	H3	Histone-lysine N-methyltransferase SETD2	q9byw2	NA	5v21
H3	H3	H3	Histone-lysine N-methyltransferase SETD2	q9byw2	NA	5v22
H3	H3	H3	Histone-lysine N-methyltransferase SETD2	q9byw2	NA	6j9j
H3	H3	H3	Histone-lysine N-methyltransferase SETD2	q9byw2	SET_SETD2	5jjy
H3	H3	H3	Histone-lysine N-methyltransferase SETD2	q9byw2	SET_SETD2	5jlb
H3	H3	H3	Histone-lysine N-methyltransferase SETD2	q9byw2	SET_SETD2	5v21
H3	H3	H3	Histone-lysine N-methyltransferase SETD2	q9byw2	SET_SETD2	5v22
H3	H3	H3	Histone-lysine N-methyltransferase SETD7	q8wts6	NA	1o9s
H3	H3	H3	Histone-lysine N-methyltransferase SETD7	q8wts6	SET_SETD7	1o9s
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	DUF5604	6bhi
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	NA	6bhd
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	NA	6bhe
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	NA	6bhg
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	NA	6bhh
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	NA	6bhi
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	TUDOR_5	6bhd
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	TUDOR_5	6bhe
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	TUDOR_5	6bhg
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	TUDOR_5	6bhh
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	TUDOR_5	6bhi
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	Tudor_4	6bhd
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	Tudor_4	6bhe
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	Tudor_4	6bhg
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	Tudor_4	6bhh
H3	H3	H3	Histone-lysine N-methyltransferase SETDB1	q15047	Tudor_4	6bhi
H3	H3	H3	Histone-lysine N-methyltransferase, H3 lysine-4 specific	q6cit4	NA	6chg
H3	H3	H3	Histone-lysine N-methyltransferase, H3 lysine-9 specific dim-5	q8x225	NA	1peg
H3	H3	H3	Histone-lysine N-methyltransferase, H3 lysine-9 specific dim-5	q8x225	SET_SUV39H_DIM5-like	1peg
H3	H3	H3	Holliday junction recognition protein	q8ncd3	NA	3r45
H3	H3	H3	Ies6	g0s590	NA	6fml
H3	H3	H3	Inactive histone-lysine N-methyltransferase 2E	q8izd2	NA	4l58
H3	H3	H3	Inactive histone-lysine N-methyltransferase 2E	q8izd2	PHD_MLL5	4l58
H3	H3	H3	Inhibitor of growth protein 4	q9unl4	NA	2vnf
H3	H3	H3	Lysine-specific demethylase 2A	p59997	NA	4tn7
H3	H3	H3	Lysine-specific demethylase 4A	o75164	JmjC	2oq6
H3	H3	H3	Lysine-specific demethylase 4A	o75164	JmjC	2ot7
H3	H3	H3	Lysine-specific demethylase 4A	o75164	JmjC	2ox0
H3	H3	H3	Lysine-specific demethylase 4A	o75164	JmjC	2ybp
H3	H3	H3	Lysine-specific demethylase 4A	o75164	JmjC	2ybs
H3	H3	H3	Lysine-specific demethylase 4A	o75164	JmjC	3u4s
H3	H3	H3	Lysine-specific demethylase 4A	o75164	JmjC	4v2v
H3	H3	H3	Lysine-specific demethylase 4A	o75164	JmjC	4v2w
H3	H3	H3	Lysine-specific demethylase 4A	o75164	NA	2oq6
H3	H3	H3	Lysine-specific demethylase 4A	o75164	NA	2ot7
H3	H3	H3	Lysine-specific demethylase 4A	o75164	NA	2ox0
H3	H3	H3	Lysine-specific demethylase 4A	o75164	NA	2ybp
H3	H3	H3	Lysine-specific demethylase 4A	o75164	NA	2ybs
H3	H3	H3	Lysine-specific demethylase 4A	o75164	NA	3u4s
H3	H3	H3	Lysine-specific demethylase 4A	o75164	NA	4v2v
H3	H3	H3	Lysine-specific demethylase 4A	o75164	NA	4v2w
H3	H3	H3	Lysine-specific demethylase 4A	o75164	NA	5d6y
H3	H3	H3	Lysine-specific demethylase 4A	o75164	NA	6hgt
H3	H3	H3	Lysine-specific demethylase 4A	o75164	Tudor_2	5d6y
H3	H3	H3	Lysine-specific demethylase 4B	o94953	JmjC	4lxl
H3	H3	H3	Lysine-specific demethylase 4B	o94953	NA	4lxl
H3	H3	H3	Lysine-specific demethylase 4D	q6b0i6	JmjC	4hon
H3	H3	H3	Lysine-specific demethylase 4D	q6b0i6	NA	4hon
H3	H3	H3	Lysine-specific demethylase 5A	p29375	PHD3_KDM5A	3gl6
H3	H3	H3	Lysine-specific demethylase 6A	o15550	JmjC	3avr
H3	H3	H3	Lysine-specific demethylase 6A	o15550	NA	3avr
H3	H3	H3	Lysine-specific demethylase 6B	o15054	JmjC	5oy3
H3	H3	H3	Lysine-specific demethylase 6B	o15054	JmjC	6f6d
H3	H3	H3	Lysine-specific demethylase 6B	o15054	NA	5oy3
H3	H3	H3	Lysine-specific demethylase 6B	o15054	NA	6f6d
H3	H3	H3	Lysine-specific histone demethylase 1A	o60341	NA	2uxn
H3	H3	H3	Lysine-specific histone demethylase 1A	o60341	NA	2v1d
H3	H3	H3	Lysine-specific histone demethylase 1A	o60341	NA	2x0l
H3	H3	H3	Lysine-specific histone demethylase 1A	o60341	NA	5h6q
H3	H3	H3	Lysine-specific histone demethylase 1A	o60341	NA	5h6r
H3	H3	H3	Lysine-specific histone demethylase 1A	o60341	NA	5x60
H3	H3	H3	Lysine-specific histone demethylase 1B	q8nb78	NA	4fwf
H3	H3	H3	Lysine-specific histone demethylase 1B	q8nb78	NA	4gu0
H3	H3	H3	Lysine-specific histone demethylase 1B	q8nb78	NA	4gur
H3	H3	H3	Lysine-specific histone demethylase 1B	q8nb78	NA	4gus
H3	H3	H3	M-phase phosphoprotein 8	q99549	CD_MMP8	3r93
H3	H3	H3	M-phase phosphoprotein 8	q99549	NA	3r93
H3	H3	H3	MORC family CW-type zinc finger protein 3	q14149	NA	4qq4
